                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.56825,                0.37221,                0.94872,                0.99605,                0.98846,                0.99458,                0.93991,                0.46695,                0.23466,                0.88742,              5.512e-05,              5.512e-05,              5.512e-05
                     36,                0.56466,                0.36649,                 0.9435,                0.99655,                0.99046,                0.99493,                0.94256,                0.46283,                  0.233,                0.88793,               5.38e-05,               5.38e-05,               5.38e-05
                     37,                0.55259,                 0.3604,                0.94493,                0.99541,                0.99003,                0.99488,                0.94145,                0.46556,                0.23554,                0.89376,              5.248e-05,              5.248e-05,              5.248e-05
                     38,                0.55464,                0.35979,                0.94091,                0.99713,                0.99026,                0.99478,                0.94615,                0.44354,                0.22861,                0.88279,              5.116e-05,              5.116e-05,              5.116e-05
                     39,                0.54644,                0.35667,                0.93698,                 0.9956,                0.99109,                0.99488,                 0.9484,                0.44143,                0.22764,                0.88344,              4.984e-05,              4.984e-05,              4.984e-05
                     40,                0.54664,                0.35382,                0.94051,                0.99393,                0.99226,                0.99488,                0.94867,                0.43278,                0.22172,                0.87842,              4.852e-05,              4.852e-05,              4.852e-05
                     41,                0.53392,                0.35077,                0.92875,                0.99605,                0.99197,                0.99479,                0.94955,                  0.434,                0.21887,                0.87739,               4.72e-05,               4.72e-05,               4.72e-05
                     42,                0.53152,                0.34183,                0.92708,                0.99627,                0.99125,                0.99499,                0.95192,                0.43236,                0.21701,                0.87998,              4.588e-05,              4.588e-05,              4.588e-05
                     43,                0.52111,                 0.3337,                0.92585,                0.99626,                0.99167,                0.99483,                0.95252,                0.41722,                 0.2167,                0.87408,              4.456e-05,              4.456e-05,              4.456e-05
                     44,                0.52199,                0.33455,                0.92756,                0.99751,                0.99192,                0.99493,                0.95493,                0.41626,                0.21305,                 0.8763,              4.324e-05,              4.324e-05,              4.324e-05
                     45,                0.52147,                 0.3342,                  0.925,                0.99723,                0.99275,                0.99496,                0.95696,                0.41306,                0.21208,                0.87617,              4.192e-05,              4.192e-05,              4.192e-05
