                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.41191,                0.31907,                0.93477,                0.99751,                0.99079,                0.99497,                0.97396,                0.24526,                0.17767,                0.77317,              5.512e-05,              5.512e-05,              5.512e-05
                     36,                0.43139,                0.32685,                0.93964,                0.99842,                0.99011,                0.99499,                0.97709,                0.24205,                0.17706,                0.77213,               5.38e-05,               5.38e-05,               5.38e-05
                     37,                0.40838,                0.32298,                0.93254,                0.99809,                0.99011,                0.99496,                0.97918,                0.23226,                0.17094,                0.76976,              5.248e-05,              5.248e-05,              5.248e-05
                     38,                0.40007,                0.30527,                0.91943,                0.99504,                0.99227,                0.99495,                0.97778,                0.23919,                0.17244,                0.77206,              5.116e-05,              5.116e-05,              5.116e-05
                     39,                0.40497,                0.30121,                0.92482,                0.99781,                0.98949,                0.99497,                0.97728,                0.23979,                0.17166,                0.77114,              4.984e-05,              4.984e-05,              4.984e-05
                     40,                0.38949,                0.29572,                0.92131,                0.99689,                0.99082,                0.99498,                0.97854,                0.23085,                0.16673,                0.77114,              4.852e-05,              4.852e-05,              4.852e-05
                     41,                0.40951,                0.30694,                0.92841,                 0.9983,                0.99196,                  0.995,                0.97905,                0.23719,                0.16731,                0.77186,               4.72e-05,               4.72e-05,               4.72e-05
                     42,                0.39887,                0.31732,                0.93659,                      1,                0.98941,                0.99498,                0.97974,                0.22409,                 0.1613,                  0.769,              4.588e-05,              4.588e-05,              4.588e-05
                     43,                0.38876,                0.29585,                0.91868,                0.99751,                0.99096,                0.99498,                0.97928,                0.22813,                0.16247,                0.76929,              4.456e-05,              4.456e-05,              4.456e-05
                     44,                0.39196,                0.28701,                0.92471,                0.99875,                0.99007,                0.99499,                0.98077,                 0.2208,                0.15918,                0.76596,              4.324e-05,              4.324e-05,              4.324e-05
                     45,                 0.3991,                0.29818,                 0.9266,                0.99869,                0.99011,                0.99499,                0.98107,                 0.2218,                0.16013,                0.76565,              4.192e-05,              4.192e-05,              4.192e-05
                     46,                0.38711,                0.28967,                0.92254,                0.99938,                0.99059,                0.99498,                0.98112,                0.22122,                0.16042,                0.76382,               4.06e-05,               4.06e-05,               4.06e-05
                     47,                0.39039,                0.29547,                0.92102,                0.99938,                0.99062,                0.99499,                0.98103,                0.22326,                0.16372,                0.76364,              3.928e-05,              3.928e-05,              3.928e-05
                     48,                0.39065,                 0.2994,                0.91549,                  0.999,                0.98949,                0.99499,                0.98314,                0.21596,                0.15751,                0.76085,              3.796e-05,              3.796e-05,              3.796e-05
                     49,                0.38311,                0.29492,                0.93127,                0.99927,                0.99011,                0.99498,                 0.9836,                0.21633,                0.15595,                0.75809,              3.664e-05,              3.664e-05,              3.664e-05
                     50,                0.37234,                0.28148,                0.91103,                      1,                0.99122,                  0.995,                0.98295,                0.21214,                 0.1564,                0.75926,              3.532e-05,              3.532e-05,              3.532e-05
                     51,                0.36431,                0.28319,                 0.9046,                 0.9998,                0.99196,                  0.995,                0.98355,                0.21358,                0.15478,                0.75973,                3.4e-05,                3.4e-05,                3.4e-05
                     52,                0.38074,                 0.2881,                0.92478,                0.99938,                0.99319,                  0.995,                0.98416,                0.20825,                0.15074,                0.75968,              3.268e-05,              3.268e-05,              3.268e-05
                     53,                 0.3541,                0.27351,                 0.9034,                0.99813,                0.99217,                0.99499,                0.98539,                0.20717,                0.14907,                0.76028,              3.136e-05,              3.136e-05,              3.136e-05
                     54,                0.36651,                0.27985,                0.91443,                0.99929,                0.99134,                  0.995,                0.98581,                0.20059,                0.14723,                0.75893,              3.004e-05,              3.004e-05,              3.004e-05
                     55,                0.36108,                0.27395,                0.91141,                0.99953,                0.99134,                  0.995,                0.98619,                0.20098,                0.14607,                0.75913,              2.872e-05,              2.872e-05,              2.872e-05
                     56,                0.35548,                0.27068,                0.91314,                0.99937,                 0.9932,                  0.995,                 0.9864,                0.20058,                0.14589,                0.75973,               2.74e-05,               2.74e-05,               2.74e-05
                     57,                0.35858,                0.27388,                0.91147,                0.99955,                 0.9932,                  0.995,                0.98622,                0.19765,                0.14312,                0.75938,              2.608e-05,              2.608e-05,              2.608e-05
                     58,                0.36261,                0.27158,                0.91128,                0.99868,                0.99382,                  0.995,                0.98641,                0.19593,                0.14212,                 0.7586,              2.476e-05,              2.476e-05,              2.476e-05
                     59,                0.37393,                0.28213,                0.92338,                0.99938,                0.99296,                  0.995,                0.98746,                0.19451,                0.14195,                0.75827,              2.344e-05,              2.344e-05,              2.344e-05
                     60,                0.36079,                0.27089,                0.91601,                0.99938,                0.99289,                  0.995,                0.98712,                0.19081,                0.13945,                0.75686,              2.212e-05,              2.212e-05,              2.212e-05
                     61,                0.34333,                0.25485,                 0.9016,                0.99952,                0.99196,                  0.995,                0.98769,                0.19032,                0.13842,                 0.7572,               2.08e-05,               2.08e-05,               2.08e-05
                     62,                0.34873,                0.25849,                 0.9053,                0.99925,                0.99258,                  0.995,                0.98808,                0.19071,                0.13967,                0.75759,              1.948e-05,              1.948e-05,              1.948e-05
                     63,                0.35452,                0.26802,                0.91774,                      1,                 0.9913,                  0.995,                0.98748,                0.18979,                0.13826,                 0.7572,              1.816e-05,              1.816e-05,              1.816e-05
                     64,                0.35163,                0.25347,                0.91696,                0.99801,                 0.9932,                  0.995,                0.98726,                0.18759,                  0.137,                0.75633,              1.684e-05,              1.684e-05,              1.684e-05
                     65,                0.35106,                0.26209,                0.90566,                0.99971,                0.99258,                  0.995,                0.98826,                0.18638,                0.13534,                0.75596,              1.552e-05,              1.552e-05,              1.552e-05
                     66,                0.25335,                0.19494,                0.81913,                0.99978,                0.99258,                  0.995,                0.98663,                0.18996,                0.13735,                0.75595,               1.42e-05,               1.42e-05,               1.42e-05
                     67,                 0.2491,                0.18036,                0.81918,                0.99976,                0.99196,                  0.995,                0.98678,                0.19182,                0.13632,                0.75638,              1.288e-05,              1.288e-05,              1.288e-05
                     68,                0.23166,                 0.1667,                0.81227,                      1,                0.99195,                  0.995,                0.98643,                0.19498,                0.13752,                0.75611,              1.156e-05,              1.156e-05,              1.156e-05
                     69,                0.23828,                0.17702,                0.81953,                0.99959,                0.99196,                  0.995,                0.98616,                0.19064,                0.13662,                 0.7557,              1.024e-05,              1.024e-05,              1.024e-05
                     70,                0.23278,                0.17138,                0.80503,                0.99988,                0.99196,                  0.995,                0.98658,                  0.188,                0.13499,                0.75546,               8.92e-06,               8.92e-06,               8.92e-06
                     71,                0.23371,                0.17188,                0.80631,                0.99814,                0.99399,                  0.995,                0.98753,                0.18793,                0.13478,                0.75521,                7.6e-06,                7.6e-06,                7.6e-06
                     72,                0.22502,                0.16495,                0.80286,                0.99852,                 0.9932,                  0.995,                0.98779,                0.18534,                0.13494,                 0.7546,               6.28e-06,               6.28e-06,               6.28e-06
                     73,                0.22207,                0.16368,                0.80694,                0.99876,                0.99293,                  0.995,                0.98845,                0.18207,                0.13218,                0.75389,               4.96e-06,               4.96e-06,               4.96e-06
                     74,                0.21998,                0.15951,                0.80781,                0.99938,                0.99302,                  0.995,                 0.9886,                0.18005,                0.13117,                0.75353,               3.64e-06,               3.64e-06,               3.64e-06
                     75,                0.22019,                0.16032,                0.81055,                0.99924,                 0.9932,                  0.995,                0.98866,                0.17934,                 0.1313,                0.75356,               2.32e-06,               2.32e-06,               2.32e-06
